subjectid|activityid|variable|meanvalue
1|Laying|tbodyaccmeanx|0.22159824394
2|Laying|tbodyaccmeanx|0.281373403958333
3|Laying|tbodyaccmeanx|0.275516852741935
4|Laying|tbodyaccmeanx|0.263559214981481
5|Laying|tbodyaccmeanx|0.278334325576923
6|Laying|tbodyaccmeanx|0.248656520140351
7|Laying|tbodyaccmeanx|0.250176694038462
8|Laying|tbodyaccmeanx|0.261254282907407
9|Laying|tbodyaccmeanx|0.2591955368
10|Laying|tbodyaccmeanx|0.280230574137931
11|Laying|tbodyaccmeanx|0.280592970877193
12|Laying|tbodyaccmeanx|0.260113433
13|Laying|tbodyaccmeanx|0.276716360483871
14|Laying|tbodyaccmeanx|0.233275439803922
15|Laying|tbodyaccmeanx|0.2894756525
16|Laying|tbodyaccmeanx|0.274227162571429
17|Laying|tbodyaccmeanx|0.269780085577465
18|Laying|tbodyaccmeanx|0.274691576923077
19|Laying|tbodyaccmeanx|0.272653733493976
20|Laying|tbodyaccmeanx|0.239507882205882
21|Laying|tbodyaccmeanx|0.271325472455556
22|Laying|tbodyaccmeanx|0.279959721194444
23|Laying|tbodyaccmeanx|0.274038007986111
24|Laying|tbodyaccmeanx|0.272850494930556
25|Laying|tbodyaccmeanx|0.250791828613699
26|Laying|tbodyaccmeanx|0.271645864540789
27|Laying|tbodyaccmeanx|0.274102492432432
28|Laying|tbodyaccmeanx|0.2759134825
29|Laying|tbodyaccmeanx|0.287295196811594
30|Laying|tbodyaccmeanx|0.281033900571429
1|Sitting|tbodyaccmeanx|0.261237565425532
2|Sitting|tbodyaccmeanx|0.27708735173913
3|Sitting|tbodyaccmeanx|0.257197599134615
4|Sitting|tbodyaccmeanx|0.27153827992
5|Sitting|tbodyaccmeanx|0.273694139545455
6|Sitting|tbodyaccmeanx|0.276778487454545
7|Sitting|tbodyaccmeanx|0.284674637291667
8|Sitting|tbodyaccmeanx|0.267491472934783
9|Sitting|tbodyaccmeanx|0.24832674354
10|Sitting|tbodyaccmeanx|0.270612056481481
11|Sitting|tbodyaccmeanx|0.276590197358491
12|Sitting|tbodyaccmeanx|0.275007224901961
13|Sitting|tbodyaccmeanx|0.274328499591837
14|Sitting|tbodyaccmeanx|0.279990577037037
15|Sitting|tbodyaccmeanx|0.27290337979661
16|Sitting|tbodyaccmeanx|0.280768574492754
17|Sitting|tbodyaccmeanx|0.2773570196875
18|Sitting|tbodyaccmeanx|0.27727001877193
19|Sitting|tbodyaccmeanx|0.273830316164384
20|Sitting|tbodyaccmeanx|0.278045439090909
21|Sitting|tbodyaccmeanx|0.277539616823529
22|Sitting|tbodyaccmeanx|0.273583822709677
23|Sitting|tbodyaccmeanx|0.273351251617647
24|Sitting|tbodyaccmeanx|0.273475690147059
25|Sitting|tbodyaccmeanx|0.278541482461538
26|Sitting|tbodyaccmeanx|0.258243530166667
27|Sitting|tbodyaccmeanx|0.273941302571429
28|Sitting|tbodyaccmeanx|0.276977629444444
29|Sitting|tbodyaccmeanx|0.2771799775
30|Sitting|tbodyaccmeanx|0.268336081379032
1|Standing|tbodyaccmeanx|0.278917629056604
2|Standing|tbodyaccmeanx|0.277911472222222
3|Standing|tbodyaccmeanx|0.280046513278689
4|Standing|tbodyaccmeanx|0.280499745892857
5|Standing|tbodyaccmeanx|0.282544390892857
6|Standing|tbodyaccmeanx|0.280346248596491
7|Standing|tbodyaccmeanx|0.282723539433962
8|Standing|tbodyaccmeanx|0.279620986111111
9|Standing|tbodyaccmeanx|0.282310057333333
10|Standing|tbodyaccmeanx|0.276650300681818
11|Standing|tbodyaccmeanx|0.277715562765957
12|Standing|tbodyaccmeanx|0.277405834918033
13|Standing|tbodyaccmeanx|0.277758431052632
14|Standing|tbodyaccmeanx|0.280545613833333
15|Standing|tbodyaccmeanx|0.278915803962264
16|Standing|tbodyaccmeanx|0.283497402948718
17|Standing|tbodyaccmeanx|0.277942503333333
18|Standing|tbodyaccmeanx|0.278458805890411
19|Standing|tbodyaccmeanx|0.27817226
20|Standing|tbodyaccmeanx|0.278076904657534
21|Standing|tbodyaccmeanx|0.27695224258427
22|Standing|tbodyaccmeanx|0.279053861587302
23|Standing|tbodyaccmeanx|0.277899323235294
24|Standing|tbodyaccmeanx|0.280348883913043
25|Standing|tbodyaccmeanx|0.278013701621622
26|Standing|tbodyaccmeanx|0.281127035405405
27|Standing|tbodyaccmeanx|0.279566921625
28|Standing|tbodyaccmeanx|0.277795069113924
29|Standing|tbodyaccmeanx|0.277965065846154
30|Standing|tbodyaccmeanx|0.277112699152542
1|Walking|tbodyaccmeanx|0.277330758736842
2|Walking|tbodyaccmeanx|0.276426586440678
3|Walking|tbodyaccmeanx|0.275567462068966
4|Walking|tbodyaccmeanx|0.278582015166667
5|Walking|tbodyaccmeanx|0.27784234625
6|Walking|tbodyaccmeanx|0.283658868070175
7|Walking|tbodyaccmeanx|0.275592961754386
8|Walking|tbodyaccmeanx|0.27468631
9|Walking|tbodyaccmeanx|0.278502842115385
10|Walking|tbodyaccmeanx|0.278574076603774
11|Walking|tbodyaccmeanx|0.271821892881356
12|Walking|tbodyaccmeanx|0.2771286656
13|Walking|tbodyaccmeanx|0.275883130350877
14|Walking|tbodyaccmeanx|0.271959598644068
15|Walking|tbodyaccmeanx|0.273899207962963
16|Walking|tbodyaccmeanx|0.276023564509804
